Departamento,Curso,Início,Fim,Modalidade,semestre
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DCBIO,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DSAU,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
DEXA,,26/08/2026,,Bolsista,2026.2
